fund_name,ticker,date,security_name,CUSIP,price,quantity,clean_mkt_value,dirty_mkt_value,ptf_weight
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,B.a.t. Capital Corp. 3.557% 15-aug-2027,05526DBB,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,B.a.t. Capital Corp. 4.54% 15-aug-2047,05526DBE,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,B.a.t. Capital Corp. 4.54% 15-aug-2047,05526DBF,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,"Baker Hughes, A Ge Company Llc 3.337% 15-dec-2027",05723KAE,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,"Baker Hughes, A Ge Company Llc 4.08% 15-dec-2047",05723KAC,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,"Baker Hughes, A Ge Company Llc 4.08% 15-dec-2047",05723KAF,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Bank Of America Corporation 2.625% 19-oct-2020,06051GFT,NA,375000,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Bank Of America Corporation 2.816% 21-jul-2023,06051GGQ,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Bank Of America Corporation 3.248% 21-oct-2027,06051GGA,NA,712000,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Bank Of America Corporation 3.458% 15-mar-2025,06051GHR,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Bank Of America Corporation 3.5% 19-apr-2026,06051GFX,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Bank Of America Corporation 3.55% 05-mar-2024,06051GHF,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Bank Of America Corporation 3.593% 21-jul-2028,06051GGR,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Bank Of America Corporation 3.824% 20-jan-2028,06051GGF,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Bank Of America Corporation 3.864% 23-jul-2024,06051GHL,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Bank Of America Corporation 3.97% 05-mar-2029,06051GHG,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Bank Of America Corporation 4.271% 23-jul-2029,06051GHM,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Bank Of America Corporation 4.33% 15-mar-2050,06051GHS,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Bank Of America Corporation Frn 05-feb-2026,06051GHB,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Bank Of Nova Scotia 2.5% 08-jan-2021,064159KT,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Bank Of Nova Scotia 2.7% 07-mar-2022,064159JG,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Barclays Plc 4.375% 12-jan-2026,06738EAN,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Barclays Plc 4.95% 10-jan-2047,06738EAV,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Barclays Plc 4.972% 16-may-2029,06738EBD,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Bayer Us Finance Ii Llc 3.875% 15-dec-2023,07274NAE,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Bayer Us Finance Ii Llc 4.25% 15-dec-2025,07274NAJ,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Bayer Us Finance Ii Llc 4.375% 15-dec-2028,07274NAL,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Bb&t Corporation 3.7% 05-jun-2025,05531FBE,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,"Becton, Dickinson And Company 2.675% 15-dec-2019",075887BE,NA,332000,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,"Becton, Dickinson And Company 2.894% 06-jun-2022",075887BT,NA,NA,NA,NA,0
